iter	RMSE
0	12.03417176
1	11.44407324
2	10.94125853
3	10.51913967
4	10.1266864
5	9.769601243
6	9.448927079
7	9.193883402
8	8.940241875
9	8.706923112
10	8.505449624
11	8.348615358
12	8.214343235
13	8.067347421
14	7.935218341
15	7.820489381
16	7.716837898
17	7.609246547
18	7.517052455
19	7.438873183
20	7.357924948
21	7.296987045
22	7.225275834
23	7.163312717
24	7.111691406
25	7.058672651
26	7.01813138
27	6.964161695
28	6.917497938
29	6.873770198
30	6.8408491
31	6.809226228
32	6.773192627
33	6.751760324
34	6.719192564
35	6.680268554
36	6.650596934
37	6.614344545
38	6.584823891
39	6.55860334
40	6.541180609
41	6.520144917
42	6.500671002
43	6.480968283
44	6.460280491
45	6.447459519
46	6.421111518
47	6.403197098
48	6.382249397
49	6.36603569
50	6.353447654
51	6.335920738
52	6.317375437
53	6.303909928
54	6.29203143
55	6.281609645
56	6.269467143
57	6.258441607
58	6.24695093
59	6.23559964
60	6.224869547
61	6.210563871
62	6.205386092
63	6.192164724
64	6.179682922
65	6.167923053
66	6.154924402
67	6.146302583
68	6.135307556
69	6.122715896
70	6.114624817
71	6.109363791
72	6.100384506
73	6.090374597
74	6.085059776
75	6.078640154
76	6.072948561
77	6.061012502
78	6.05050576
79	6.042778637
80	6.030881277
81	6.022048191
82	6.009659564
83	6.004325219
84	5.999274048
85	5.989239586
86	5.980470609
87	5.973895141
88	5.964166732
89	5.960679761
90	5.952055687
91	5.948950401
92	5.936145692
93	5.927007916
94	5.919329595
95	5.912244144
96	5.910175836
97	5.9002791
98	5.89632067
99	5.886453658
100	5.88255809
101	5.880685673
102	5.869617755
103	5.858849565
104	5.851583063
105	5.845381308
106	5.835082391
107	5.823783588
108	5.809960338
109	5.799282895
110	5.797648101
111	5.785875444
112	5.783468077
113	5.772673708
114	5.763845459
115	5.752720202
116	5.744610446
117	5.735780187
118	5.726126137
119	5.715186238
120	5.705731603
121	5.700815617
122	5.693127215
123	5.683206742
124	5.669952148
125	5.662744264
126	5.661399546
127	5.653703282
128	5.643876807
129	5.635960158
130	5.626905964
131	5.617388715
132	5.615985775
133	5.609325581
134	5.599120296
135	5.591104012
136	5.583708655
137	5.573770635
138	5.569342654
139	5.560667984
140	5.559390432
141	5.550900167
142	5.541482262
143	5.533336653
144	5.532208591
145	5.52981287
146	5.518400097
147	5.509372552
148	5.507811551
149	5.499161692
150	5.493389747
151	5.487425642
152	5.484187857
153	5.475708475
154	5.471226002
155	5.468157265
156	5.458831734
157	5.451553602
158	5.443199779
159	5.437277043
160	5.43330125
161	5.432179193
162	5.421418435
163	5.416606139
164	5.408819798
165	5.402851456
166	5.39868232
167	5.390668044
168	5.379391046
169	5.374844619
170	5.368700517
171	5.36722994
172	5.358612296
173	5.351209318
174	5.345707861
175	5.337021558
176	5.331705407
177	5.323919212
178	5.318110102
179	5.309386017
180	5.303482312
181	5.295100349
182	5.288060334
183	5.285364801
184	5.281169601
185	5.278085547
186	5.270126087
187	5.262310887
188	5.261022783
189	5.251728599
190	5.251314832
191	5.243120208
192	5.235801251
193	5.231425908
194	5.223829112
195	5.215676625
196	5.213069683
197	5.203651481
198	5.199238934
199	5.195274992
