iter	Passed	Remaining
0	16	3244
1	28	2794
2	34	2293
3	45	2221
4	50	1973
5	57	1875
6	63	1743
7	68	1653
8	75	1610
9	80	1528
10	87	1500
11	95	1494
12	105	1514
13	113	1509
14	121	1504
15	128	1473
16	139	1499
17	145	1476
18	153	1458
19	159	1431
20	168	1435
21	174	1412
22	180	1391
23	188	1381
24	194	1360
25	206	1380
26	215	1379
27	220	1356
28	227	1341
29	235	1336
30	243	1327
31	252	1327
32	259	1311
33	268	1309
34	273	1291
35	286	1303
36	291	1284
37	299	1276
38	308	1275
39	315	1263
40	321	1245
41	329	1238
42	335	1226
43	344	1222
44	352	1213
45	361	1210
46	366	1191
47	375	1189
48	381	1176
49	390	1170
50	395	1155
51	401	1142
52	412	1143
53	419	1133
54	426	1123
55	431	1109
56	439	1102
57	447	1095
58	458	1094
59	464	1083
60	472	1077
61	479	1066
62	486	1058
63	491	1044
64	497	1033
65	505	1025
66	511	1015
67	519	1008
68	525	998
69	533	990
70	540	981
71	550	978
72	557	970
73	565	962
74	571	952
75	575	939
76	582	929
77	587	918
78	593	908
79	602	903
80	607	892
81	615	886
82	621	875
83	625	864
84	633	856
85	637	845
86	646	839
87	652	829
88	656	819
89	665	812
90	670	802
91	679	797
92	684	787
93	688	776
94	696	770
95	701	759
96	707	751
97	714	743
98	719	734
99	727	727
100	732	718
101	738	709
102	745	702
103	751	693
104	759	686
105	765	679
106	773	671
107	778	662
108	782	653
109	788	645
110	793	636
111	798	627
112	806	621
113	811	612
114	816	603
115	823	596
116	827	587
117	832	578
118	840	571
119	845	563
120	857	559
121	871	557
122	878	549
123	887	543
124	899	539
125	909	534
126	920	529
127	928	522
128	942	518
129	955	514
130	970	511
131	980	505
132	986	496
133	991	488
134	999	481
135	1005	473
136	1012	465
137	1018	457
138	1026	450
139	1033	442
140	1038	434
141	1046	427
142	1052	419
143	1058	411
144	1064	403
145	1069	395
146	1077	388
147	1082	380
148	1085	371
149	1093	364
150	1099	356
151	1104	348
152	1111	341
153	1115	333
154	1122	325
155	1129	318
156	1133	310
157	1141	303
158	1146	295
159	1150	287
160	1158	280
161	1164	273
162	1173	266
163	1177	258
164	1186	251
165	1192	244
166	1196	236
167	1205	229
168	1210	222
169	1219	215
170	1224	207
171	1229	200
172	1241	193
173	1245	186
174	1253	179
175	1257	171
176	1261	163
177	1268	156
178	1274	149
179	1281	142
180	1285	134
181	1288	127
182	1295	120
183	1300	113
184	1305	105
185	1313	98
186	1317	91
187	1322	84
188	1329	77
189	1334	70
190	1339	63
191	1347	56
192	1351	49
193	1358	42
194	1365	35
195	1369	27
196	1373	20
197	1379	13
198	1384	6
199	1390	0
95	1565	31
196	1570	23
197	1579	15
198	1585	7
199	1593	0

193	1948	60
194	1951	50
195	1955	39
196	1960	29
197	1966	19
198	1971	9
199	1979	0
