iter	Passed	Remaining
0	101	20166
1	213	21159
2	297	19554
3	398	19541
4	482	18813
5	579	18725
6	693	19113
7	776	18624
8	894	18989
9	985	18718
10	1070	18388
11	1169	18315
12	1266	18212
13	1354	17995
14	1446	17837
15	1552	17854
16	1646	17724
17	1758	17779
18	1837	17503
19	1926	17334
20	2005	17096
21	2099	16987
22	2174	16735
23	2247	16481
24	2334	16343
25	2423	16218
26	2506	16059
27	2576	15825
28	2682	15817
29	2768	15690
30	2855	15567
31	2962	15555
32	3046	15414
33	3123	15250
34	3220	15181
35	3315	15105
36	3397	14968
37	3488	14874
38	3585	14799
39	3670	14680
40	3743	14517
41	3828	14401
42	3929	14346
43	4019	14250
44	4098	14116
45	4181	13997
46	4276	13920
47	4408	13960
48	4500	13869
49	4618	13856
50	4693	13712
51	4797	13655
52	4920	13648
53	5038	13622
54	5191	13686
55	5314	13666
56	5392	13527
57	5497	13458
58	5574	13322
59	5665	13220
60	5772	13152
61	5867	13059
62	6011	13073
63	6115	12995
64	6218	12915
65	6342	12876
66	6460	12825
67	6556	12727
68	6654	12633
69	6760	12554
70	6910	12555
71	7067	12563
72	7259	12629
73	7420	12634
74	7558	12596
75	7686	12541
76	7871	12573
77	8025	12552
78	8171	12515
79	8294	12441
80	8431	12387
81	8609	12389
82	8720	12292
83	8854	12227
84	8949	12107
85	9080	12036
86	9194	11941
87	9363	11917
88	9470	11811
89	9593	11725
90	9695	11612
91	9801	11506
92	9901	11391
93	10001	11278
94	10138	11205
95	10279	11136
96	10383	11025
97	10482	10910
98	10569	10782
99	10649	10649
100	10775	10562
101	10949	10519
102	11211	10558
103	11332	10460
104	11475	10382
105	11593	10281
106	11692	10162
107	11808	10059
108	11946	9973
109	12061	9868
110	12168	9756
111	12238	9615
112	12322	9486
113	12412	9363
114	12501	9240
115	12614	9134
116	12755	9048
117	12959	9005
118	13200	8984
119	13357	8905
120	13479	8800
121	13612	8703
122	13683	8566
123	13816	8468
124	13940	8364
125	14082	8270
126	14202	8163
127	14309	8049
128	14371	7910
129	14470	7791
130	14572	7675
131	14692	7568
132	14773	7442
133	14850	7314
134	14939	7193
135	15015	7066
136	15109	6948
137	15196	6827
138	15251	6693
139	15298	6556
140	15357	6426
141	15427	6301
142	15496	6176
143	15556	6049
144	15666	5942
145	15730	5817
146	15790	5693
147	15831	5562
148	15858	5427
149	15886	5295
150	15942	5173
151	15968	5042
152	16038	4926
153	16081	4803
154	16106	4676
155	16128	4548
156	16159	4425
157	16199	4306
158	16232	4185
159	16255	4063
160	16286	3945
161	16312	3826
162	16333	3707
163	16372	3594
164	16437	3486
165	16555	3390
166	16636	3287
167	16799	3199
168	16843	3089
169	16892	2980
170	16945	2873
171	16997	2766
172	17049	2660
173	17106	2556
174	17158	2451
175	17216	2347
176	17317	2250
177	17410	2151
178	17464	2048
179	17519	1946
180	17575	1844
181	17630	1743
182	17698	1644
183	17742	1542
184	17796	1442
185	17841	1342
186	17943	1247
187	18035	1151
188	18065	1051
189	18097	952
190	18138	854
191	18176	757
192	18207	660
193	18241	564
194	18294	469
195	18344	374
196	18391	280
197	18446	186
198	18505	92
199	18559	0
